Public ID1,Organization1,Availability1,System Name (click + for details),Accelerator,# of Accelerators,Benchmark1,Model MLC1,Scenario1,Units1,Division/Power,Model (copy),Operating System,Processor,Software1,System Type Revised,Version,# of Nodes,Division,Division Revised,Has Power,Host Processor Core Count,Model,System Type,Result,Result at System Name
1.1-339,Krai,Available Cloud,NVIDIA Jetson AGX Xavier,, ,Inference,ResNet,Single Stream,latency (ms),Open - Power,ResNet,,NVIDIA Carmel (ARMv8.2),TFLite v2.5.0 (ruy),Edge,v1.1,1,open,Open,True,,ResNet,edge,2.594904,2.594904
1.1-387,Krai,Available Cloud,NVIDIA Jetson AGX Xavier,, ,Inference,ResNet,Offline,samples/s,Open - Power,ResNet,,NVIDIA Carmel (ARMv8.2),TFLite v2.5.0 (ruy),Edge,v1.1,1,open,Open,True,,ResNet,edge,432.608,432.608
1.1-356,Krai,Available Cloud,NVIDIA Jetson AGX Xavier,, ,Inference,ResNet,Offline,System Watts,Open - Power,ResNet,,NVIDIA Carmel (ARMv8.2),TFLite v2.5.0 (ruy),Edge,v1.1,1,open,Open,True,,ResNet,edge,20.28249333,20.28249333
1.1-356,Krai,Available Cloud,NVIDIA Jetson AGX Xavier,, ,Inference,ResNet,Single Stream,latency (ms),Open - Power,ResNet,,NVIDIA Carmel (ARMv8.2),TFLite v2.5.0 (ruy),Edge,v1.1,1,open,Open,True,,ResNet,edge,8.373174,8.373174
1.1-400,Krai,Available Cloud,NVIDIA Jetson AGX Xavier,, ,Inference,ResNet,Offline,samples/s,Open - Power,ResNet,,NVIDIA Carmel (ARMv8.2),TFLite v2.5.0 (ruy),Edge,v1.1,1,open,Open,True,,ResNet,edge,138.416,138.416
1.1-364,Krai,Available Cloud,NVIDIA Jetson AGX Xavier,, ,Inference,ResNet,Single Stream,latency (ms),Open - Power,ResNet,,NVIDIA Carmel (ARMv8.2),TFLite v2.5.0 (ruy),Edge,v1.1,1,open,Open,True,,ResNet,edge,11.938267,11.938267
1.1-388,Krai,Available Cloud,NVIDIA Jetson AGX Xavier,, ,Inference,ResNet,Offline,System Watts,Open - Power,ResNet,,NVIDIA Carmel (ARMv8.2),TFLite v2.5.0 (ruy),Edge,v1.1,1,open,Open,True,,ResNet,edge,20.140895,20.140895
1.1-358,Krai,Available Cloud,NVIDIA Jetson AGX Xavier,, ,Inference,ResNet,Single Stream,System energy (J) per stream*,Open - Power,ResNet,,NVIDIA Carmel (ARMv8.2),TFLite v2.5.0 (ruy),Edge,v1.1,1,open,Open,True,,ResNet,edge,0.183058872,0.183058872
1.1-405,Krai,Available Cloud,NVIDIA Jetson AGX Xavier,, ,Inference,ResNet,Offline,samples/s,Open - Power,ResNet,,NVIDIA Carmel (ARMv8.2),TFLite v2.5.0 (ruy),Edge,v1.1,1,open,Open,True,,ResNet,edge,79.3338,79.3338
1.1-368,Krai,Available Cloud,NVIDIA Jetson AGX Xavier,, ,Inference,ResNet,Offline,System Watts,Open - Power,ResNet,,NVIDIA Carmel (ARMv8.2),TFLite v2.5.0 (ruy),Edge,v1.1,1,open,Open,True,,ResNet,edge,20.58589333,20.58589333
1.1-363,Krai,Available Cloud,NVIDIA Jetson AGX Xavier,, ,Inference,ResNet,Single Stream,latency (ms),Open - Power,ResNet,,NVIDIA Carmel (ARMv8.2),TFLite v2.5.0 (ruy),Edge,v1.1,1,open,Open,True,,ResNet,edge,10.020328,10.020328
1.1-414,Krai,Available Cloud,NVIDIA Jetson AGX Xavier,, ,Inference,ResNet,Single Stream,latency (ms),Open - Power,ResNet,,NVIDIA Carmel (ARMv8.2),TFLite v2.5.0 (ruy),Edge,v1.1,1,open,Open,True,,ResNet,edge,10.870741,10.870741
1.1-330,Krai,Available Cloud,NVIDIA Jetson AGX Xavier,, ,Inference,ResNet,Offline,System Watts,Open - Power,ResNet,,NVIDIA Carmel (ARMv8.2),TFLite v2.5.0 (ruy),Edge,v1.1,1,open,Open,True,,ResNet,edge,20.703355,20.703355
1.1-374,Krai,Available Cloud,NVIDIA Jetson AGX Xavier,, ,Inference,ResNet,Offline,samples/s,Open - Power,ResNet,,NVIDIA Carmel (ARMv8.2),TFLite v2.5.0 (ruy),Edge,v1.1,1,open,Open,True,,ResNet,edge,193.155,193.155
1.1-407,Krai,Available Cloud,NVIDIA Jetson AGX Xavier,, ,Inference,ResNet,Offline,System Watts,Open - Power,ResNet,,NVIDIA Carmel (ARMv8.2),TFLite v2.5.0 (ruy),Edge,v1.1,1,open,Open,True,,ResNet,edge,24.06711667,24.06711667
